question,answer,category,difficulty,tags
"What is the purpose of metadata json files?","The metadata.json file can be treated as a diagram of the overall structure of a decorator's metadata, represented as an abstract syntax tree(AST). During the analysis phase, the AOT collector scan the metadata recorded in the Angular decorators and outputs metadata information in .metadata.json files, one per .d.ts file.","Compilation/AOT","hard","angular"
"Can I use any javascript feature for expression syntax in AOT?","No, the AOT collector understands a subset of (or limited) JavaScript features. If an expression uses unsupported syntax, the collector writes an error node to the .metadata.json file. Later point of time, the compiler reports an error if it needs that piece of metadata to generate the application code.","Compilation/AOT","hard","aot"
"What is folding?","The compiler can only resolve references to exported symbols in the metadata. Where as some of the non-exported members are folded while generating the code. i.e Folding is a process in which the collector evaluate an expression during collection and record the result in the .metadata.json instead of the original expression. For example, the compiler couldn't refer selector reference because it is not exported","General","intermediate","general"
"What are macros?","The AOT compiler supports macros in the form of functions or static methods that return an expression in a single return expression. For example, let us take a below macro function,","General","intermediate","general"
"Give an example of few metadata errors?","Below are some of the errors encountered in metadata,","General","intermediate","general"
"What is metadata rewriting?","Metadata rewriting is the process in which the compiler converts the expression initializing the fields such as useClass, useValue, useFactory, and data into an exported variable, which replaces the expression. Remember that the compiler does this rewriting during the emit of the .js file but not in definition files( .d.ts file).","Compilation/AOT","hard","angular"
"How do you provide configuration inheritance?","Angular Compiler supports configuration inheritance through extends in the tsconfig.json on angularCompilerOptions. i.e, The configuration from the base file(for example, tsconfig.base.json) are loaded first, then overridden by those in the inheriting config file.","General","intermediate","general"
"How do you specify angular template compiler options?","The angular template compiler options are specified as members of the angularCompilerOptions object in the tsconfig.json file. These options will be specified adjacent to typescript compiler options.","General","intermediate","general"
"How do you enable binding expression validation?","You can enable binding expression validation explicitly by adding the compiler option fullTemplateTypeCheck in the angularCompilerOptions of the project's tsconfig.json. It produces error messages when a type error is detected in a template binding expression.","General","intermediate","general"
"What is the purpose of any type cast function?","You can disable binding expression type checking using $any() type cast function(by surrounding the expression). In the following example, the error Property contacts does not exist is suppressed by casting user to the any type.","General","intermediate","general"
"What is Non null type assertion operator?","You can use the non-null type assertion operator to suppress the Object is possibly 'undefined' error. In the following example, the user and contact properties are always set together, implying that contact is always non-null if user is non-null. The error is suppressed in the example by using contact!.email.","General","intermediate","general"
"How is type narrowing applied in templates?","The expression used in an ngIf directive is used to narrow type unions in the Angular template compiler similar to if expression in typescript. So *ngIf allows the typeScript compiler to infer that the data used in the binding expression will never be undefined.","General","intermediate","general"
"How do you describe various dependencies in angular application?","The dependencies section of package.json with in an angular application can be divided as follow,","General","intermediate","general"
"What is zone?","A Zone is an execution context that persists across async tasks. Angular relies on zone.js to run Angular's change detection processes when native JavaScript operations raise events","Dependency Injection","intermediate","zone"
"What is the purpose of common module?","The commonly-needed services, pipes, and directives provided by @angular/common module. Apart from these HttpClientModule is available under @angular/common/http.","Modules","easy","module"
"What is codelyzer?","Codelyzer provides set of tslint rules for static code analysis of Angular TypeScript projects. You can run the static code analyzer over web apps, NativeScript, Ionic etc. Angular CLI has support for this and it can be use as below,","General","intermediate","general"
