question,answer,category,difficulty,tags
Give an example of few metadata errors?,"Below are some of the errors encountered in metadata,
Expression form not supported: Some of the language features outside of the compiler's restricted expression syntax used in angular metadata can produce this error. Let's see some of these examples,
1. export class User { ... }
   const prop = typeof User; // typeof is not valid in metadata
2. { provide: 'token', useValue: { [prop]: 'value' } }; // bracket notation is not valid in metadata
Reference to a local (non-exported) symbol: The compiler encountered a referenced to a locally defined symbol that either wasn't exported or wasn't initialized. Let's take example of this error,
// ERROR
let username: string; // neither exported nor initialized
@Component({
  selector: 'my-component',
  template: ... ,
  providers: [
    { provide: User, useValue: username }
  ]
})
export class MyComponent {}
You can fix this by either exporting or initializing the value,
export let username: string; // exported
(or)
let username = 'John'; // initialized
Function calls are not supported: The compiler does not currently support function expressions or lambda functions. For example, you cannot set a provider's useFactory to an anonymous function or arrow function as below.
 providers: [
    { provide: MyStrategy, useFactory: function() { ... } },
    { provide: OtherStrategy, useFactory: () => { ... } }
  ]
You can fix this with exported function
export function myStrategy() { ... }
export function otherStrategy() { ... }
... // metadata
providers: [
    { provide: MyStrategy, useFactory: myStrategy },
    { provide: OtherStrategy, useFactory: otherStrategy },
Destructured variable or constant not supported: The compiler does not support references to variables assigned by destructuring. For example, you cannot write something like this:
import { user } from './user';
// destructured assignment to name and age
const {name, age} = user;
... //metadata
providers: [
    {provide: Name, useValue: name},
    {provide: Age, useValue: age},
  ]
You can fix this by non-destructured values
import { user } from './user';
... //metadata
providers: [
    {provide: Name, useValue: user.name},
    {provide: Age, useValue: user.age},
  ]",Compilation/AOT,hard,angular
What is metadata rewriting?,"Metadata rewriting is the process in which the compiler converts the expression initializing the fields such as useClass, useValue, useFactory, and data into an exported variable, which replaces the expression. Remember that the compiler does this rewriting during the emit of the .js file but not in definition files( .d.ts file).",Compilation/AOT,hard,angular
How do you provide configuration inheritance?,"Angular Compiler supports configuration inheritance through extends in the tsconfig.json on angularCompilerOptions. i.e, The configuration from the base file(for example, tsconfig.base.json) are loaded first, then overridden by those in the inheriting config file.
{
  ""extends"": ""../tsconfig.base.json"",
  ""compilerOptions"": {
    ""experimentalDecorators"": true,
    ...
  },
  ""angularCompilerOptions"": {
    ""fullTemplateTypeCheck"": true,
    ""preserveWhitespaces"": true,
    ...
  }
}",Angular Basics,hard,angular
How do you specify angular template compiler options?,"The angular template compiler options are specified as members of the angularCompilerOptions object in the tsconfig.json file. These options will be specified adjacent to typescript compiler options.
{
  ""compilerOptions"": {
    ""experimentalDecorators"": true,
              ...
  },
  ""angularCompilerOptions"": {
    ""fullTemplateTypeCheck"": true,
    ""preserveWhitespaces"": true,
              ...
  }
}",Compilation/AOT,easy,angular;template
How do you enable binding expression validation?,"You can enable binding expression validation explicitly by adding the compiler option fullTemplateTypeCheck in the ""angularCompilerOptions"" of the project's tsconfig.json. It produces error messages when a type error is detected in a template binding expression.
For example, consider the following component:
@Component({
  selector: 'my-component',
  template: '{{user.contacts.email}}'
})
class MyComponent {
  user?: User;
}
This will produce the following error:
my.component.ts.MyComponent.html(1,1): : Property 'contacts' does not exist on type 'User'. Did you mean 'contact'?",Angular Basics,hard,binding;di
What is the purpose of any type cast function?,"You can disable binding expression type checking using $any() type cast function(by surrounding the expression). In the following example, the error Property contacts does not exist is suppressed by casting user to the any type.
  template:
  '{{ $any(user).contacts.email }}'
The $any() cast function also works with this to allow access to undeclared members of the component.
   template:
   '{{ $any(this).contacts.email }}'",Angular Basics,easy,angular
What is Non null type assertion operator?,"You can use the non-null type assertion operator to suppress the Object is possibly 'undefined' error. In the following example, the user and contact properties are always set together, implying that contact is always non-null if user is non-null. The error is suppressed in the example by using contact!.email.
@Component({
  selector: 'my-component',
  template: '<span *ngIf=""user""> {{user.name}} contacted through {{contact!.email}} </span>'
})
class MyComponent {
  user?: User;
  contact?: Contact;
  setData(user: User, contact: Contact) {
    this.user = user;
    this.contact = contact;
  }
}",Angular Basics,easy,angular
How is type narrowing applied in templates?,"The expression used in an ngIf directive is used to narrow type unions in the Angular template compiler similar to if expression in typescript. So *ngIf allows the typeScript compiler to infer that the data used in the binding expression will never be undefined.
@Component({
  selector: 'my-component',
  template: '<span *ngIf=""user""> {{user.contact.email}} </span>'
})
class MyComponent {
  user?: User;
}",Templates,easy,template
How do you describe various dependencies in angular application?,"The dependencies section of package.json with in an angular application can be divided as follow,
Angular packages: Angular core and optional modules; their package names begin @angular/.
Support packages: Third-party libraries that must be present for Angular apps to run.
Polyfill packages: Polyfills plug gaps in a browser's JavaScript implementation.",Angular Basics,easy,angular
What is zone?,A Zone is an execution context that persists across async tasks. Angular relies on zone.js to run Angular's change detection processes when native JavaScript operations raise events,Dependency Injection,intermediate,zone
What is the purpose of common module?,"The commonly-needed services, pipes, and directives provided by @angular/common module. Apart from these HttpClientModule is available under @angular/common/http.",Modules,easy,module
What is codelyzer?,"Codelyzer provides set of tslint rules for static code analysis of Angular TypeScript projects. You can run the static code analyzer over web apps, NativeScript, Ionic etc. Angular CLI has support for this and it can be use as below,
ng new codelyzer
ng lint",Tooling,easy,angular
